id_n,total_gross_income,total_taxable_income,ssc_w,total_pit
309252,232173,75408,60765,7541
284636,200898,40180,0,4018
279264,198353,56187,54547,5619
535896,208795,176015,12441,17602
279546,212671,58186,58485,5819
105280,219103,62850,60253,6285
71511,219095,62844,60251,6284
706176,227830,158886,47420,15889
439798,185011,60228,50878,6023
10384,230717,74356,60361,7436
519952,230317,74066,60251,7407
803671,184071,111962,50620,11196
249930,232805,80356,60049,8036
239911,228806,73629,59177,7483
246363,234053,73688,64365,7369
39578,234744,114536,64555,11454
137859,199441,91844,54846,9184
16296,230454,71079,63375,7108
671853,228657,146084,39790,18807
597092,216412,72305,56488,7230
439419,194448,61775,50387,6177
753901,212907,92520,48387,9487
662937,231017,74482,60535,7448
750995,193766,62801,50203,6280
33178,214995,85430,56041,8543
540239,219095,62844,60251,6284
576017,207930,117263,34667,11726
172702,212236,67888,55257,6789
542955,207590,207590,0,20759
166318,231735,75094,60641,7509
418876,188990,37798,0,3780
23732,221747,105795,57898,10580
577899,234852,71390,59727,7635
309438,232078,75985,60093,7599
700429,232506,75622,60884,7562
292325,214365,67622,58743,6800
518001,191951,62220,49731,6222
384978,231897,75211,60686,7521
575973,230668,71234,63434,7123
556227,214982,214982,0,32247
52303,229003,77999,59004,7800
