id_n,total_gross_income,total_taxable_income,total_pit,total_net_icome
646290,40,40,6,0
278639,44,44,7,0
322524,44,44,7,0
236500,44,44,7,0
261321,44,44,7,0
378434,44,44,7,0
266727,44,44,7,0
360325,44,44,7,0
700010,44,44,7,0
565514,44,44,7,0
83795,48,48,7,0
780720,48,48,7,0
324221,48,48,7,0
559369,48,48,7,0
881806,50,50,8,0
138691,50,50,8,0
771703,50,50,8,0
861137,50,50,8,0
838816,50,50,8,0
50387,50,50,8,0
227345,50,50,8,0
473763,50,50,8,0
66846,50,50,8,0
839705,50,50,8,0
473271,52,52,8,0
426529,52,52,8,0
737936,52,52,8,0
183092,53,53,8,0
51646,53,53,8,0
506199,53,53,8,0
768845,56,56,8,0
427905,56,56,8,0
683997,56,56,8,0
130451,56,56,8,0
522042,58,58,9,0
231924,60,60,9,0
578407,60,60,9,0
884259,60,60,9,0
472975,60,60,9,0
456815,60,60,9,0
629796,60,60,9,0
456673,60,60,9,0
868457,60,60,9,0
408499,60,60,9,0
861351,60,60,9,0
727975,60,60,9,0
858416,60,60,9,0
492385,60,60,9,0
93954,60,60,9,0
366813,60,60,9,0
364654,60,60,9,0
673221,60,60,9,0
269699,64,64,10,0
458346,64,64,10,0
221338,64,64,10,0
504944,64,64,10,0
76348,64,64,10,0
328384,68,68,10,0
268269,70,35,5,0
328369,71,71,11,0
739619,72,72,11,0
651531,72,72,11,0
773944,73,73,11,0
458536,76,76,11,0
165257,76,76,11,0
652952,79,79,12,0
525949,80,80,12,0
671782,80,80,12,0
874157,80,80,12,0
717561,80,80,12,0
376352,80,80,12,0
849410,80,80,12,0
43257,80,80,12,0
231899,80,80,12,0
727683,80,80,12,0
44974,80,80,12,0
619753,80,80,12,0
646998,80,80,12,0
271262,80,80,12,0
862370,86,86,13,0
66155,86,86,13,0
864830,87,87,9,0
124179,89,89,13,0
845533,90,90,9,0
862460,94,94,9,0
629892,96,96,14,0
772974,96,96,10,0
364798,96,96,14,0
41333,100,100,15,0
39716,100,100,15,0
640140,100,100,15,0
542438,100,100,15,0
524448,100,100,15,0
312190,100,100,15,0
682397,100,100,15,0
570207,100,100,15,0
851647,100,100,15,0
641422,100,100,15,0
262947,100,100,15,0
603557,100,100,15,0
846936,100,100,15,0
125094,100,100,15,0
644762,100,100,15,0
875281,100,100,15,0
183010,100,100,15,0
841783,100,100,15,0
844471,100,100,15,0
871233,100,100,15,0
780792,100,100,15,0
313645,100,100,15,0
162456,100,100,15,0
40435,100,100,15,0
877355,100,100,15,0
